Article,Price ($),Description,Brand
Apple,5.79,Fresh and crispy red apples,Golden Harvest
Apple,1.76,Fresh and crispy red apples,Orchard Fresh
Apple,1.29,Fresh and crispy red apples,Nature's Delight
Banana,4.72,Ripe and sweet bananas,Dole
Banana,2.77,Ripe and sweet bananas,Chiquita
Banana,4.09,Ripe and sweet bananas,Fresh Farms
Carrot,2.26,"Organic carrots, perfect for salads",Farm Fresh
Carrot,1.27,"Organic carrots, perfect for salads",Organic Valley
Carrot,2.49,"Organic carrots, perfect for salads",Healthy Harvest
Detergent,4.68,Effective and fragrant detergent,Tide
Detergent,2.42,Effective and fragrant detergent,Gain
Detergent,3.96,Effective and fragrant detergent,Arm & Hammer
Eggs,3.11,"Farm fresh eggs, pack of 12",Happy Hen
Eggs,2.36,"Farm fresh eggs, pack of 12",Eggland's Best
Eggs,5.75,"Farm fresh eggs, pack of 12",Farmhouse Eggs
Flour,5.37,All-purpose baking flour,King Arthur
Flour,1.12,All-purpose baking flour,Gold Medal
Flour,3.56,All-purpose baking flour,Pillsbury
Grapes,4.15,Juicy and sweet seedless grapes,Del Monte
Grapes,1.99,Juicy and sweet seedless grapes,Sun-Maid
Grapes,5.75,Juicy and sweet seedless grapes,Green Giant
Honey,5.72,Pure and natural honey,Nature's Nectar
Honey,5.72,Pure and natural honey,Bee's Best
Honey,4.13,Pure and natural honey,Honey Gardens
Ice Cream,1.4,Creamy vanilla ice cream,Breyers
Ice Cream,3.46,Creamy vanilla ice cream,Ben & Jerry's
Ice Cream,1.2,Creamy vanilla ice cream,Haagen-Dazs
Juice,5.61,Freshly squeezed orange juice,Tropicana
Juice,3.23,Freshly squeezed orange juice,Simply Orange
Juice,5.01,Freshly squeezed orange juice,Minute Maid
Kale,1.51,"Organic kale, rich in vitamins",Green Farm
Kale,0.98,"Organic kale, rich in vitamins",Nature's Greens
Kale,4.5,"Organic kale, rich in vitamins",Organic Valley
Lettuce,5.19,Crisp and fresh lettuce,Iceberg
Lettuce,0.76,Crisp and fresh lettuce,Romaine Garden
Lettuce,2.15,Crisp and fresh lettuce,Fresh Express
Milk,1.46,"Whole milk, 1 liter",Dairy Pure
Milk,3.62,"Whole milk, 1 liter",Horizon
Milk,4.7,"Whole milk, 1 liter",Organic Valley
Nuts,4.95,"Mixed nuts, rich in protein",Planters
Nuts,2.26,"Mixed nuts, rich in protein",Blue Diamond
Nuts,2.64,"Mixed nuts, rich in protein",Wonderful
Olive Oil,2.34,"Extra virgin olive oil, 500ml",Bertolli
Olive Oil,5.69,"Extra virgin olive oil, 500ml",Colavita
Olive Oil,4.39,"Extra virgin olive oil, 500ml",California Olive Ranch
Pasta,1.82,Durum wheat pasta,Barilla
Pasta,2.04,Durum wheat pasta,De Cecco
Pasta,2.04,Durum wheat pasta,Ronzoni
Quinoa,5.56,"High-protein quinoa, 500g",Ancient Harvest
Quinoa,3.16,"High-protein quinoa, 500g",Bob's Red Mill
Quinoa,5.91,"High-protein quinoa, 500g",Nature's Earthly Choice
Rice,0.61,"Long grain white rice, 1kg",Uncle Ben's
Rice,1.05,"Long grain white rice, 1kg",Lundberg
Rice,5.65,"Long grain white rice, 1kg",Mahatma
Sugar,1.03,"Granulated white sugar, 1kg",Domino
Sugar,5.68,"Granulated white sugar, 1kg",C&H
Sugar,1.58,"Granulated white sugar, 1kg",Imperial
Tomatoes,5.13,Vine-ripened tomatoes,Heirloom
Tomatoes,5.54,Vine-ripened tomatoes,Roma
Tomatoes,3.01,Vine-ripened tomatoes,Cherry Delight
